STATION_CODE,STATION_NAME,LATITUDE,LONGITUDE,NUMBER_OF_ROUTES,BIKE_CAPACITY,Cages,Hoops,Locker,Other,Parkiteer,PARKING_CAPACITY,ANNUAL_PATRONAGE,PRE_PEAK,AM_PEAK,INTERPEAK,PM_PEAK,POST_PEAK,WEEKDAY_ENTRIES,SAT_ENTRIES,SUN_ENTRIES,AVG_WEEKLY_ENTRIES,ACCESS_BUS,ACCESS_CAR,ACCESS_BIKE,ACCESS_OTHER,ACCESS_TRAIN,ACCESS_TRAM,ACCESS_WALK,PURPOSE_EDU,PURPOSE_NIL,PURPOSE_APTMNT,PURPOSE_SOCIAL,PURPOSE_TOURIST,PURPOSE_VISIT,PURPOSE_WORK,venues
SUY,sunbury,-37.58,144.73,1.0,25.0,0.0,0.0,0.0,0.0,1.0,565.0,0.62,536.29,1040.17,398.62,271.08,53.84,2300.0,980.0,650.0,13130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
DIT,diggers rest,-37.63,144.72,1.0,25.0,0.0,0.0,0.0,0.0,1.0,548.0,0.07,42.04,155.43,43.99,14.77,3.77,260.0,70.0,50.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GIR,glen iris,-37.86,145.06,1.0,6.0,0.0,0.0,6.0,0.0,0.0,70.0,0.31,46.22,528.97,205.04,318.02,41.76,1140.0,500.0,330.0,6530.0,0.16,0.41,0.0,0.0,0.08,0.06,0.28,0.16,0.01,0.13,0.03,0.07,0.01,0.59,11
DLG,darling,-37.87,145.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.3,47.49,676.14,181.83,125.93,28.61,1060.0,430.0,290.0,6020.0,0.0,0.53,0.0,0.0,0.0,0.0,0.47,0.19,0.01,0.03,0.12,0.0,0.04,0.62,14
EMV,east malvern,-37.88,145.07,1.0,32.0,0.0,0.0,6.0,0.0,1.0,676.0,0.47,107.67,1181.69,232.32,148.04,30.27,1700.0,620.0,410.0,9530.0,0.0,0.84,0.0,0.0,0.0,0.0,0.16,0.18,0.0,0.02,0.04,0.0,0.06,0.7,9
HOL,holmesglen,-37.87,145.09,1.0,10.0,0.0,0.0,10.0,0.0,0.0,195.0,0.66,133.06,899.57,606.99,554.53,125.85,2320.0,1110.0,800.0,13510.0,0.12,0.22,0.0,0.0,0.07,0.0,0.59,0.37,0.0,0.07,0.06,0.02,0.01,0.47,0
JOR,jordanville,-37.87,145.11,1.0,10.0,0.0,0.0,10.0,0.0,0.0,155.0,0.32,83.53,627.82,214.46,139.69,34.5,1100.0,600.0,430.0,6530.0,0.11,0.38,0.0,0.01,0.0,0.0,0.5,0.17,0.02,0.05,0.06,0.01,0.06,0.63,1
FGS,flagstaff,-37.81,144.96,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,49.05,652.41,2518.94,14548.2,1521.38,19290.0,0.0,0.0,96450.0,0.0,0.0,0.0,0.0,0.39,0.03,0.57,0.09,0.1,0.05,0.02,0.0,0.02,0.72,50
MCE,melbourne central,-37.81,144.96,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.93,153.65,1398.9,10799.81,32171.29,10506.35,55030.0,26950.0,20610.0,322710.0,0.0,0.0,0.0,0.0,0.03,0.13,0.83,0.32,0.03,0.04,0.11,0.01,0.05,0.45,50
PAR,parliament,-37.81,144.97,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,115.16,1241.44,5846.17,30599.13,4588.1,42390.0,7930.0,5910.0,225790.0,0.0,0.02,0.0,0.0,0.08,0.13,0.77,0.07,0.01,0.05,0.02,0.0,0.02,0.84,50
BEG,belgrave,-37.91,145.36,1.0,26.0,0.0,0.0,4.0,0.0,1.0,170.0,0.36,175.03,473.36,257.06,284.57,29.98,1220.0,690.0,540.0,7330.0,0.16,0.39,0.0,0.01,0.04,0.0,0.4,0.28,0.01,0.06,0.19,0.07,0.08,0.32,0
TCM,tecoma,-37.91,145.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,26.41,128.34,45.5,23.35,6.4,230.0,110.0,80.0,1340.0,0.01,0.46,0.0,0.0,0.04,0.0,0.49,0.12,0.04,0.14,0.11,0.0,0.05,0.55,0
UPW,upwey,-37.9,145.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,74.65,246.95,114.62,98.22,15.55,550.0,230.0,140.0,3120.0,0.17,0.29,0.0,0.0,0.01,0.0,0.53,0.19,0.0,0.19,0.04,0.0,0.19,0.39,2
ALM,alamein,-37.87,145.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,42.59,327.69,105.14,61.17,13.41,550.0,200.0,150.0,3100.0,0.0,0.11,0.01,0.0,0.0,0.0,0.88,0.31,0.0,0.07,0.09,0.0,0.02,0.51,0
ASH,ashburton,-37.86,145.08,1.0,9.0,0.0,1.0,6.0,0.0,0.0,252.0,0.29,86.83,635.54,187.5,123.31,26.83,1060.0,350.0,240.0,5890.0,0.08,0.45,0.02,0.0,0.01,0.0,0.44,0.23,0.01,0.02,0.12,0.0,0.02,0.61,0
BWD,burwood,-37.85,145.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.35,71.19,807.91,214.53,188.99,27.37,1310.0,380.0,240.0,7170.0,0.0,0.42,0.01,0.0,0.0,0.14,0.43,0.21,0.02,0.08,0.05,0.03,0.02,0.59,12
HWL,hartwell,-37.84,145.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,35.8,468.27,131.43,94.16,20.34,750.0,270.0,180.0,4200.0,0.0,0.12,0.0,0.0,0.01,0.02,0.85,0.3,0.01,0.05,0.07,0.0,0.0,0.56,0
WSN,willison,-37.84,145.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,26.93,211.22,54.61,31.79,5.45,330.0,100.0,60.0,1810.0,0.0,0.12,0.0,0.0,0.01,0.0,0.87,0.15,0.02,0.1,0.03,0.02,0.0,0.67,1
RIV,riversdale,-37.83,145.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.23,43.31,515.93,137.02,250.35,13.38,960.0,160.0,100.0,5060.0,0.0,0.31,0.0,0.0,0.08,0.19,0.42,0.23,0.01,0.01,0.03,0.03,0.14,0.56,3
CAM,camberwell,-37.83,145.06,3.0,6.0,0.0,0.0,6.0,0.0,0.0,75.0,2.0,185.68,2186.57,1283.07,2626.62,458.06,6740.0,3390.0,3270.0,40360.0,0.0,0.13,0.0,0.0,0.2,0.08,0.59,0.18,0.03,0.04,0.02,0.01,0.03,0.68,37
FSS,flinders street,-37.82,144.97,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.96,664.66,4603.83,17900.9,53506.9,15413.7,92090.0,53680.0,41710.0,555840.0,0.01,0.0,0.0,0.0,0.32,0.14,0.53,0.18,0.01,0.1,0.08,0.02,0.07,0.54,44
FKN,frankston,-38.14,145.13,2.0,74.0,0.0,1.0,16.0,1.0,2.0,413.0,1.67,881.15,1712.04,1404.23,1098.11,184.48,5280.0,3810.0,2890.0,33100.0,0.25,0.41,0.0,0.0,0.06,0.0,0.28,0.19,0.0,0.13,0.2,0.01,0.06,0.41,3
KAN,kananook,-38.12,145.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.33,182.65,552.49,258.81,164.92,31.13,1190.0,500.0,340.0,6790.0,0.17,0.45,0.02,0.0,0.01,0.0,0.34,0.15,0.0,0.13,0.1,0.01,0.07,0.54,3
SEA,seaford,-38.1,145.13,1.0,39.0,0.0,1.0,8.0,0.0,1.0,477.0,0.45,327.94,754.7,258.55,162.67,36.13,1540.0,780.0,530.0,9010.0,0.03,0.55,0.03,0.0,0.02,0.0,0.37,0.09,0.0,0.04,0.17,0.0,0.04,0.66,0
CAR,carrum,-38.07,145.12,1.0,19.0,0.0,2.0,10.0,0.0,0.0,220.0,0.44,234.67,719.44,301.52,182.96,41.41,1480.0,830.0,560.0,8790.0,0.03,0.48,0.0,0.0,0.0,0.0,0.49,0.13,0.0,0.2,0.07,0.0,0.01,0.59,0
BON,bonbeach,-38.06,145.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.21,89.42,385.45,144.44,70.75,19.94,710.0,390.0,260.0,4200.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.16,0.03,0.04,0.1,0.0,0.04,0.63,4
CSA,chelsea,-38.05,145.12,1.0,16.0,0.0,0.0,6.0,2.0,0.0,198.0,0.51,182.23,785.96,421.18,263.21,67.42,1720.0,980.0,680.0,10260.0,0.06,0.36,0.01,0.05,0.03,0.0,0.49,0.08,0.01,0.11,0.21,0.0,0.1,0.49,0
EDI,edithvale,-38.04,145.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.31,95.65,574.19,210.18,130.68,39.3,1050.0,590.0,390.0,6230.0,0.14,0.26,0.02,0.0,0.0,0.0,0.59,0.09,0.01,0.05,0.23,0.0,0.1,0.52,5
ASP,aspendale,-38.03,145.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.23,69.18,463.92,146.11,105.86,24.93,810.0,400.0,260.0,4710.0,0.0,0.52,0.01,0.0,0.0,0.0,0.47,0.09,0.0,0.06,0.06,0.0,0.05,0.73,0
MOR,mordialloc,-38.01,145.09,1.0,20.0,0.0,0.0,20.0,0.0,0.0,220.0,0.68,207.13,1074.46,463.87,451.61,102.94,2300.0,1330.0,930.0,13760.0,0.07,0.37,0.01,0.0,0.0,0.0,0.55,0.16,0.0,0.15,0.25,0.0,0.04,0.41,3
PKD,parkdale,-37.99,145.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,82.67,653.62,285.64,315.78,42.28,1380.0,670.0,430.0,8000.0,0.16,0.29,0.01,0.0,0.02,0.0,0.51,0.23,0.0,0.02,0.05,0.0,0.01,0.68,0
MEN,mentone,-37.98,145.07,1.0,12.0,0.0,1.0,8.0,0.0,0.0,272.0,0.9,207.97,1253.31,646.44,1048.86,123.43,3280.0,1420.0,950.0,18770.0,0.23,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.62,0.0,0.38,0.0,13
CTM,cheltenham,-37.97,145.05,1.0,41.0,0.0,0.0,16.0,0.0,1.0,356.0,0.96,242.65,1477.46,638.41,709.77,171.71,3240.0,1790.0,1240.0,19230.0,0.08,0.26,0.03,0.0,0.02,0.0,0.6,0.16,0.0,0.11,0.15,0.0,0.02,0.57,6
UFG,upper ferntree gully,-37.89,145.31,1.0,8.0,0.0,0.0,8.0,0.0,0.0,308.0,0.25,129.08,451.74,154.19,118.41,26.58,880.0,390.0,290.0,5080.0,0.15,0.46,0.0,0.03,0.06,0.0,0.31,0.29,0.01,0.16,0.08,0.02,0.03,0.41,0
FTG,ferntree gully,-37.88,145.3,1.0,47.0,0.0,0.0,21.0,0.0,1.0,401.0,0.43,236.92,924.33,249.99,183.54,35.22,1630.0,520.0,370.0,9040.0,0.1,0.55,0.0,0.02,0.01,0.0,0.32,0.22,0.0,0.12,0.08,0.0,0.0,0.58,0
BOR,boronia,-37.86,145.28,1.0,25.0,0.0,0.0,0.0,0.0,1.0,394.0,0.63,311.46,1206.07,453.83,271.04,67.6,2310.0,970.0,650.0,13170.0,0.18,0.43,0.01,0.0,0.01,0.0,0.37,0.21,0.0,0.09,0.1,0.01,0.08,0.51,5
