,STATION_NAME,LATITUDE,LONGITUDE,NUMBER_OF_ROUTES,BIKE_CAPACITY,Cages,Hoops,Locker,Other,Parkiteer,STATION_CODE,PARKING_CAPACITY
0,sunbury,-37.579091,144.727319,1.0,25.0,0.0,0.0,0.0,0.0,1.0,SUY,565.0
1,diggers rest,-37.627016999999995,144.719922,1.0,25.0,0.0,0.0,0.0,0.0,1.0,DIT,548.0
2,stony point,-38.374235,145.221837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,STY,8.0
3,crib point,-38.366123,145.204043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,20.0
4,morradoo,-38.354033,145.189602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MRO,10.0
5,bittern,-38.33739,145.178027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BIT,50.0
6,hastings,-38.305659,145.18598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,HST,20.0
7,tyabb,-38.259814999999996,145.186401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TAB,20.0
8,somerville,-38.225342,145.176245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SVE,70.0
9,baxter,-38.194043,145.160526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BXR,15.0
10,glen iris,-37.859308,145.058225,1.0,6.0,0.0,0.0,6.0,0.0,0.0,GIR,70.0
11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
12,darling,-37.868957,145.062951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DLG,309.0
13,east malvern,-37.87693,145.069393,1.0,32.0,0.0,0.0,6.0,0.0,1.0,EMV,676.0
14,holmesglen,-37.874401999999996,145.090662,1.0,10.0,0.0,0.0,10.0,0.0,0.0,HOL,195.0
15,jordanville,-37.873602999999996,145.11209,1.0,10.0,0.0,0.0,10.0,0.0,0.0,JOR,155.0
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
19,belgrave,-37.909102,145.355291,1.0,26.0,0.0,0.0,4.0,0.0,1.0,BEG,170.0
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
23,ashburton,-37.861968,145.081344,1.0,9.0,0.0,1.0,6.0,0.0,0.0,ASH,252.0
