,STATION_NAME,LATITUDE,LONGITUDE,NUMBER_OF_ROUTES
0,sunbury,-37.579091,144.727319,1
1,diggers rest,-37.627016999999995,144.719922,1
2,stony point,-38.374235,145.221837,1
3,crib point,-38.366123,145.204043,1
4,morradoo,-38.354033,145.189602,1
5,bittern,-38.33739,145.178027,1
6,hastings,-38.305659,145.18598,1
7,tyabb,-38.259814999999996,145.186401,1
8,somerville,-38.225342,145.176245,1
9,baxter,-38.194043,145.160526,1
10,glen iris,-37.859308,145.058225,1
11,leawarra,-38.152034,145.139534,1
12,darling,-37.868957,145.062951,1
13,east malvern,-37.87693,145.069393,1
14,holmesglen,-37.874401999999996,145.090662,1
15,jordanville,-37.873602999999996,145.11209,1
16,flagstaff,-37.811980999999996,144.95565399999998,15
17,melbourne central,-37.809939,144.962594,15
18,parliament,-37.811054,144.972911,15
19,belgrave,-37.909102,145.355291,1
20,tecoma,-37.908118,145.342995,1
21,upwey,-37.903690999999995,145.331333,1
22,alamein,-37.86832,145.079656,1
23,ashburton,-37.861968,145.081344,1
24,burwood,-37.851563,145.080511,1
25,hartwell,-37.843984999999996,145.07556,1
26,willison,-37.835716,145.070298,1
27,riversdale,-37.831505,145.069646,1
28,camberwell,-37.826567,145.058697,3
29,flinders street,-37.818304999999995,144.966964,16
30,frankston,-38.14299,145.126162,2
31,kananook,-38.121742,145.13529499999999,1
32,seaford,-38.104020999999996,145.12823,1
33,carrum,-38.074892999999996,145.12241799999998,1
34,bonbeach,-38.062945,145.11968,1
35,chelsea,-38.051955,145.116041,1
36,edithvale,-38.038056,145.10853600000002,1
37,aspendale,-38.02722,145.10215,1
38,mordialloc,-38.006583,145.087659,1
39,parkdale,-37.993079,145.076327,1
40,mentone,-37.981865,145.065166,1
41,cheltenham,-37.96665,145.054558,1
42,upper ferntree gully,-37.892672,145.30752999999999,1
43,ferntree gully,-37.881698,145.295251,1
44,boronia,-37.860451999999995,145.284385,1
45,bayswater,-37.84173,145.268136,1
46,heathmont,-37.828322,145.244555,1
47,highett,-37.948425,145.041872,1
48,glen waverley,-37.879504,145.162058,1
49,syndal,-37.87623,145.14978,1
50,mount waverley,-37.875254999999996,145.12805600000002,1
51,lilydale,-37.755517999999995,145.34771,1
52,mooroolbark,-37.784749,145.312402,1
53,croydon,-37.795437,145.280598,1
54,ringwood east,-37.811968,145.250191,1
55,pakenham,-38.080614,145.486379,1
56,officer,-38.066145999999996,145.410987,1
57,beaconsfield,-38.050830999999995,145.366074,1
58,berwick,-38.040408,145.345726,1
59,narre warren,-38.027809,145.303969,1
60,hallam,-38.017739999999996,145.269777,1
61,cranbourne,-38.099537,145.280599,1
62,merinda park,-38.079,145.263511,1
63,dandenong,-37.989968,145.209725,2
64,yarraman,-37.978255,145.1916,2
65,noble park,-37.967231999999996,145.176936,2
66,sandown park,-37.956505,145.162826,2
67,east camberwell,-37.825894,145.06819000000002,2
68,canterbury,-37.824484999999996,145.081224,2
69,chatham,-37.8243,145.088648,2
70,surrey hills,-37.824148,145.098775,2
71,mont albert,-37.819427,145.10553,2
72,laburnum,-37.82078,145.140703,2
73,blackburn,-37.820071,145.150014,2
74,nunawading,-37.820603,145.174892,2
75,mitcham,-37.81801,145.191974,2
76,heatherdale,-37.818835,145.21355,2
77,ringwood,-37.815886,145.228968,2
78,auburn,-37.822398,145.045844,3
79,glenferrie,-37.821467,145.036439,3
80,hawthorn,-37.821826,145.022899,3
81,burnley,-37.82756,145.007555,5
82,east richmond,-37.8264,144.997066,4
83,richmond,-37.824073999999996,144.990164,8
84,heyington,-37.834672,145.022635,1
85,kooyong,-37.839929,145.033552,1
86,tooronga,-37.849365999999996,145.041734,1
87,gardiner,-37.853279,145.05165499999998,1
88,springvale,-37.949509,145.15345200000002,2
89,westall,-37.938491,145.138833,2
90,clayton,-37.924683,145.120534,2
91,huntingdale,-37.911017,145.102364,2
92,oakleigh,-37.900372,145.08830799999998,2
93,hughesdale,-37.894881,145.077635,2
94,murrumbeena,-37.890198,145.067375,2
95,carnegie,-37.886241,145.058575,2
96,werribee,-37.899378,144.661118,1
97,hoppers crossing,-37.883275999999995,144.700955,1
98,laverton,-37.863693999999995,144.772617,1
99,aircraft,-37.866606,144.760809,1
100,westona,-37.865162999999995,144.813494,1
101,altona,-37.867148,144.829645,1
102,seaholme,-37.867841999999996,144.840958,1
103,westgarth,-37.780621,144.999233,1
104,dennis,-37.779187,145.008242,1
105,fairfield,-37.779171,145.016905,1
106,alphington,-37.778394,145.031255,1
107,darebin,-37.774963,145.038476,1
108,ivanhoe,-37.768896999999996,145.045425,1
109,eaglemont,-37.763586,145.053943,1
110,heidelberg,-37.757073,145.060686,1
111,rosanna,-37.742878999999995,145.06614,1
112,moorabbin,-37.934353,145.036738,1
113,patterson,-37.925149,145.03547,1
114,bentleigh,-37.917425,145.036995,1
115,mckinnon,-37.910309,145.038299,1
116,ormond,-37.903211999999996,145.039613,1
117,glenhuntly,-37.889719,145.042223,1
118,caulfield,-37.877459,145.042525,3
119,malvern,-37.866253,145.029294,3
120,armadale,-37.856452,145.019326,3
121,toorak,-37.850774,145.013909,3
122,hawksburn,-37.844591,145.002142,3
