STATION_NAME,ANNUAL_PATRONAGE,PRE_PEAK,AM_PEAK,INTERPEAK,PM_PEAK,POST_PEAK,WEEKDAY_ENTRIES,SAT_ENTRIES,SUN_ENTRIES,AVG_WEEKLY_ENTRIES,ACCESS_BUS,ACCESS_CAR,ACCESS_BIKE,ACCESS_OTHER,ACCESS_TRAIN,ACCESS_TRAM,ACCESS_WALK,PURPOSE_EDU,PURPOSE_NIL,PURPOSE_APTMNT,PURPOSE_SOCIAL,PURPOSE_TOURIST,PURPOSE_VISIT,PURPOSE_WORK
aircraft,0.2,106.9,332.24,130.37,120.32,20.17,710,330,240,4120,0.16,0.64,0,0,0,0,0.19,0.09,0,0.05,0.07,0,0.1,0.69
alamein,0.15,42.59,327.69,105.14,61.17,13.41,550,200,150,3100,0,0.11,0.01,0,0,0,0.88,0.31,0,0.07,0.09,0,0.02,0.51
albion,0.8,393.86,1730.51,572.45,308.6,74.58,3080,960,660,17020,0.07,0.56,0,0,0,0,0.37,0.25,0,0.03,0.09,0,0.04,0.58
alphington,0.27,49.52,554.63,181.45,153.72,30.68,970,430,290,5570,0,0.23,0,0,0,0,0.77,0.09,0,0.03,0.06,0,0.05,0.77
altona,0.31,132.88,442.01,217.26,152.24,55.62,1000,650,470,6120,0.13,0.29,0.01,0.01,0,0,0.56,0.13,0.01,0.08,0.16,0.01,0.03,0.59
anstey,0.37,92.56,575.96,269.92,202.57,68.98,1210,830,540,7420,0.03,0.09,0.04,0,0,0,0.84,0.1,0.02,0.07,0.09,0,0.06,0.66
armadale,0.61,85.33,953.29,438.97,480.29,112.12,2070,1240,780,12370,0,0.08,0,0.01,0,0.13,0.79,0.13,0,0.03,0.06,0,0.03,0.75
ascot vale,0.56,139.99,1136.1,373.15,232.49,68.27,1950,940,620,11310,0.02,0.26,0,0,0,0.08,0.64,0.12,0,0.05,0.07,0,0.06,0.7
ashburton,0.29,86.83,635.54,187.5,123.31,26.83,1060,350,240,5890,0.08,0.45,0.02,0,0.01,0,0.44,0.23,0.01,0.02,0.12,0,0.02,0.61
aspendale,0.23,69.18,463.92,146.11,105.86,24.93,810,400,260,4710,0,0.52,0.01,0,0,0,0.47,0.09,0,0.06,0.06,0,0.05,0.73
auburn,0.64,79.63,964.46,472.15,584.07,109.69,2210,1240,820,13110,0,0.09,0,0,0,0,0.91,0.11,0,0.04,0.04,0,0.04,0.76
balaclava,1.11,184.55,1673.54,785.9,755.41,250.61,3650,2200,1530,21980,0,0.07,0.01,0,0,0.1,0.82,0.18,0.01,0.05,0.07,0.01,0.06,0.62
batman,0.28,71.53,430.72,194.73,200.6,42.42,940,510,350,5560,0.06,0.13,0.02,0,0,0.01,0.78,0.18,0.01,0.02,0.07,0,0.04,0.68
bayswater,0.5,228.41,955.32,294.68,290.56,61.03,1830,680,460,10290,0.04,0.55,0.05,0,0.01,0,0.36,0.19,0.04,0.08,0.12,0,0,0.56
beaconsfield,0.21,193.26,367.53,119.19,147.03,13,840,200,130,4530,0.04,0.65,0.08,0,0,0,0.23,0.14,0.01,0.06,0.1,0,0.09,0.6
belgrave,0.36,175.03,473.36,257.06,284.57,29.98,1220,690,540,7330,0.16,0.39,0,0.01,0.04,0,0.4,0.28,0.01,0.06,0.19,0.07,0.08,0.32
bell,0.43,95.75,563.26,346.55,351.22,83.21,1440,890,630,8720,0.04,0.11,0.02,0.01,0,0,0.83,0.21,0,0.05,0.09,0.02,0.1,0.53
bentleigh,0.79,189.22,1171.25,655.3,470.87,123.36,2610,1560,1110,15720,0.1,0.25,0.01,0,0.04,0,0.6,0.12,0.03,0.03,0.14,0,0.09,0.59
berwick,0.83,615.61,1361.99,545.14,605.18,62.09,3190,900,590,17440,0.11,0.5,0,0.01,0.01,0,0.36,0.33,0,0.09,0.04,0,0.06,0.48
